Date,Open,High,Low,Close,Volume
2020-01-02,75.09,75.09,75.09,75.09,135650000.0
2020-01-03,74.36,74.36,74.36,74.36,146540000.0
2020-01-06,74.95,74.95,74.95,74.95,118580000.0
2020-01-07,74.6,74.6,74.6,74.6,111510000.0
2020-01-08,75.8,75.8,75.8,75.8,132360000.0
2020-01-09,77.41,77.41,77.41,77.41,170490000.0
2020-01-10,77.58,77.58,77.58,77.58,140870000.0
2020-01-13,79.24,79.24,79.24,79.24,122090000.0
2020-01-14,78.17,78.17,78.17,78.17,162610000.0
2020-01-15,77.83,77.83,77.83,77.83,121920000.0
2020-01-16,78.81,78.81,78.81,78.81,108830000.0
2020-01-17,79.68,79.68,79.68,79.68,137820000.0
2020-01-21,79.14,79.14,79.14,79.14,110840000.0
2020-01-22,79.42,79.42,79.42,79.42,101830000.0
2020-01-23,79.81,79.81,79.81,79.81,104470000.0
2020-01-24,79.58,79.58,79.58,79.58,146540000.0
2020-01-27,77.24,77.24,77.24,77.24,161940000.0
2020-01-28,79.42,79.42,79.42,79.42,162230000.0
2020-01-29,81.08,81.08,81.08,81.08,216600000.0
2020-01-30,80.97,80.97,80.97,80.97,126740000.0
2020-01-31,77.38,77.38,77.38,77.38,199590000.0
2020-02-03,77.17,77.17,77.17,77.17,173990000.0
2020-02-04,79.71,79.71,79.71,79.71,136620000.0
2020-02-05,80.36,80.36,80.36,80.36,118830000.0
2020-02-06,81.3,81.3,81.3,81.3,105430000.0
2020-02-07,80.01,80.01,80.01,80.01,117680000.0
2020-02-10,80.39,80.39,80.39,80.39,109350000.0
2020-02-11,79.9,79.9,79.9,79.9,94320000.0
2020-02-12,81.8,81.8,81.8,81.8,113730000.0
2020-02-13,81.22,81.22,81.22,81.22,94750000.0
2020-02-14,81.24,81.24,81.24,81.24,80110000.0
2020-02-18,79.75,79.75,79.75,79.75,152760000.0
2020-02-19,80.91,80.91,80.91,80.91,93980000.0
2020-02-20,80.08,80.08,80.08,80.08,100570000.0
2020-02-21,78.26,78.26,78.26,78.26,129710000.0
2020-02-24,74.55,74.55,74.55,74.55,222200000.0
2020-02-25,72.02,72.02,72.02,72.02,230670000.0
2020-02-26,73.16,73.16,73.16,73.16,198710000.0
2020-02-27,68.38,68.38,68.38,68.38,320610000.0
2020-02-28,68.34,68.34,68.34,68.34,426880000.0
2020-03-02,74.7,74.7,74.7,74.7,341400000.0
2020-03-03,72.33,72.33,72.33,72.33,319480000.0
2020-03-04,75.69,75.69,75.69,75.69,219180000.0
2020-03-05,73.23,73.23,73.23,73.23,187570000.0
2020-03-06,72.26,72.26,72.26,72.26,226180000.0
2020-03-09,66.54,66.54,66.54,66.54,286740000.0
2020-03-10,71.33,71.33,71.33,71.33,285290000.0
2020-03-11,68.86,68.86,68.86,68.86,256380000.0
2020-03-12,62.06,62.06,62.06,62.06,418470000.0
2020-03-13,69.49,69.49,69.49,69.49,370730000.0
2020-03-16,60.55,60.55,60.55,60.55,322420000.0
2020-03-17,63.22,63.22,63.22,63.22,324060000.0
2020-03-18,61.67,61.67,61.67,61.67,300230000.0
2020-03-19,61.2,61.2,61.2,61.2,271860000.0
2020-03-20,57.31,57.31,57.31,57.31,401690000.0
2020-03-23,56.09,56.09,56.09,56.09,336750000.0
2020-03-24,61.72,61.72,61.72,61.72,287530000.0
2020-03-25,61.38,61.38,61.38,61.38,303600000.0
2020-03-26,64.61,64.61,64.61,64.61,252560000.0
2020-03-27,61.94,61.94,61.94,61.94,204220000.0
2020-03-30,63.7,63.7,63.7,63.7,167980000.0
2020-03-31,63.57,63.57,63.57,63.57,197000000.0
2020-04-01,60.23,60.23,60.23,60.23,176220000.0
2020-04-02,61.23,61.23,61.23,61.23,165930000.0
2020-04-03,60.35,60.35,60.35,60.35,129880000.0
2020-04-06,65.62,65.62,65.62,65.62,201820000.0
2020-04-07,64.86,64.86,64.86,64.86,202890000.0
2020-04-08,66.52,66.52,66.52,66.52,168900000.0
2020-04-09,67.0,67.0,67.0,67.0,162120000.0
2020-04-13,68.31,68.31,68.31,68.31,131020000.0
2020-04-14,71.76,71.76,71.76,71.76,194990000.0
2020-04-15,71.11,71.11,71.11,71.11,131150000.0
2020-04-16,71.67,71.67,71.67,71.67,157130000.0
2020-04-17,70.7,70.7,70.7,70.7,215250000.0
2020-04-20,69.23,69.23,69.23,69.23,130020000.0
2020-04-21,67.09,67.09,67.09,67.09,180990000.0
2020-04-22,69.03,69.03,69.03,69.03,117060000.0
2020-04-23,68.76,68.76,68.76,68.76,124810000.0
2020-04-24,70.74,70.74,70.74,70.74,126510000.0
2020-04-27,70.79,70.79,70.79,70.79,117090000.0
2020-04-28,69.64,69.64,69.64,69.64,112000000.0
2020-04-29,71.93,71.93,71.93,71.93,137280000.0
2020-04-30,73.45,73.45,73.45,73.45,183060000.0
2020-05-01,72.27,72.27,72.27,72.27,240620000.0
2020-05-04,73.29,73.29,73.29,73.29,133570000.0
2020-05-05,74.39,74.39,74.39,74.39,147750000.0
2020-05-06,75.16,75.16,75.16,75.16,142330000.0
2020-05-07,75.94,75.94,75.94,75.94,115220000.0
2020-05-08,77.53,77.53,77.53,77.53,134050000.0
2020-05-11,78.75,78.75,78.75,78.75,145950000.0
2020-05-12,77.85,77.85,77.85,77.85,162300000.0
2020-05-13,76.91,76.91,76.91,76.91,200620000.0
2020-05-14,77.39,77.39,77.39,77.39,158930000.0
2020-05-15,76.93,76.93,76.93,76.93,166350000.0
2020-05-18,78.74,78.74,78.74,78.74,135370000.0
2020-05-19,78.28,78.28,78.28,78.28,101730000.0
2020-05-20,79.81,79.81,79.81,79.81,111500000.0
2020-05-21,79.21,79.21,79.21,79.21,102690000.0
2020-05-22,79.72,79.72,79.72,79.72,81800000.0
2020-05-27,79.53,79.53,79.53,79.53,112950000.0
2020-05-28,79.56,79.56,79.56,79.56,133800000.0
2020-05-29,79.48,79.48,79.48,79.48,153600000.0
2020-06-01,80.46,80.46,80.46,80.46,81020000.0
2020-06-02,80.83,80.83,80.83,80.83,87640000.0
2020-06-03,81.28,81.28,81.28,81.28,104490000.0
2020-06-04,80.58,80.58,80.58,80.58,87560000.0
2020-06-05,82.88,82.88,82.88,82.88,137250000.0
2020-06-08,83.36,83.36,83.36,83.36,95650000.0
2020-06-09,86.0,86.0,86.0,86.0,147710000.0
2020-06-10,88.21,88.21,88.21,88.21,166650000.0
2020-06-11,83.97,83.97,83.97,83.97,201660000.0
2020-06-12,84.7,84.7,84.7,84.7,200150000.0
2020-06-15,85.75,85.75,85.75,85.75,138810000.0
2020-06-16,88.02,88.02,88.02,88.02,165430000.0
2020-06-17,87.9,87.9,87.9,87.9,114410000.0
2020-06-18,87.93,87.93,87.93,87.93,96820000.0
2020-06-19,87.43,87.43,87.43,87.43,264480000.0
2020-06-22,89.72,89.72,89.72,89.72,135450000.0
2020-06-23,91.63,91.63,91.63,91.63,212160000.0
2020-06-24,90.02,90.02,90.02,90.02,192620000.0
2020-06-25,91.21,91.21,91.21,91.21,137520000.0
2020-06-26,88.41,88.41,88.41,88.41,205260000.0
2020-06-29,90.44,90.44,90.44,90.44,130650000.0
2020-06-30,91.2,91.2,91.2,91.2,140220000.0
2020-07-01,91.03,91.03,91.03,91.03,110740000.0
2020-07-02,91.03,91.03,91.03,91.03,114040000.0
2020-07-07,93.17,93.17,93.17,93.17,112420000.0
2020-07-08,95.34,95.34,95.34,95.34,117090000.0
2020-07-09,95.68,95.68,95.68,95.68,125640000.0
2020-07-10,95.92,95.92,95.92,95.92,90260000.0
2020-07-13,95.48,95.48,95.48,95.48,191650000.0
2020-07-14,97.06,97.06,97.06,97.06,170990000.0
2020-07-15,97.72,97.72,97.72,97.72,153200000.0
2020-07-16,96.52,96.52,96.52,96.52,110580000.0
2020-07-17,96.33,96.33,96.33,96.33,92190000.0
2020-07-20,98.36,98.36,98.36,98.36,90320000.0
2020-07-21,97.0,97.0,97.0,97.0,103650000.0
2020-07-22,97.27,97.27,97.27,97.27,89000000.0
2020-07-23,92.84,92.84,92.84,92.84,197000000.0
2020-07-24,92.61,92.61,92.61,92.61,185440000.0
2020-07-27,94.81,94.81,94.81,94.81,121210000.0
2020-07-28,93.25,93.25,93.25,93.25,103630000.0
2020-07-29,95.04,95.04,95.04,95.04,90330000.0
2020-07-30,96.19,96.19,96.19,96.19,158130000.0
2020-07-31,106.26,106.26,106.26,106.26,374300000.0
2020-08-03,108.94,108.94,108.94,108.94,308150000.0
2020-08-04,109.67,109.67,109.67,109.67,172790000.0
2020-08-05,110.06,110.06,110.06,110.06,121990000.0
2020-08-06,113.9,113.9,113.9,113.9,202430000.0
2020-08-07,111.11,111.11,111.11,111.11,198050000.0
2020-08-10,112.73,112.73,112.73,112.73,212400000.0
2020-08-11,109.38,109.38,109.38,109.38,187900000.0
2020-08-12,113.01,113.01,113.01,113.01,165940000.0
2020-08-13,115.01,115.01,115.01,115.01,210080000.0
2020-08-14,114.91,114.91,114.91,114.91,165570000.0
2020-08-17,114.61,114.61,114.61,114.61,119560000.0
2020-08-18,115.56,115.56,115.56,115.56,105630000.0
